Degree,ID,Curriculum,Field of studies,ECTS Credits,Semester,Link
06 Promotion,5038,TUM School of Social Sciences and Technology (Education) (kA/20211),Erziehungswissenschaft (Pädagogik),,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5039,TUM School of SOT (Governance) (kA/20211),Politikwissenschaft,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5049,"TUM School of SOT (Sc., Tech. and Soc.) (kA/20211)",sonstiges,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
07 Doctor of Philosophy (Ph.D.),2491,"Medical Life Science and Technology,Doctor of Philosophy (kA/0; sb bis 30.09.2039)",Medizin (Allgemein-Medizin),,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2491&pStartSemester=
08 Staatsexamen / 1. Staatsprüfung,2662,Lebensmittelchemie (kA/0; sb bis 30.09.2051),Lebensmittelchemie,,9,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2662&pStartSemester=
08 Staatsexamen / 1. Staatsprüfung,2728,Medizin (Klinisch) (kA/0; sb bis 30.09.2051),Medizin (Allgemein-Medizin),,"12,3",https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2728&pStartSemester=
08 Staatsexamen / 1. Staatsprüfung,4241,Medizin (Vorklinisch LMU) (kA/0; sb bis 30.09.2050),Medizin (Allgemein-Medizin),,"12,3",https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4241&pStartSemester=
14 Bachelor of Education / Naturwissenschaftliche Bildung,5369,"Biologie, Chemie (kA/20241; sb bis 01.10.2050)",Biologie,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5369&pStartSemester=
14 Bachelor of Education / Naturwissenschaftliche Bildung,5111,"Mathematik, Chemie (kA/20221; sb bis 01.10.2050)",Mathematik,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5111&pStartSemester=
14 Bachelor of Education / Naturwissenschaftliche Bildung,5373,"Mathematik, Informatik (kA/20241; sb bis 01.10.2050)",Mathematik,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5373&pStartSemester=
14 Bachelor of Education / Naturwissenschaftliche Bildung,5114,"Mathematik, Physik (kA/20221; sb bis 01.10.2050)",Mathematik,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5114&pStartSemester=
14 Bachelor of Education / Naturwissenschaftliche Bildung,5115,"Mathematik, Sport (kA/20221; sb bis 01.10.2050)",Mathematik,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5115&pStartSemester=
14 Bachelor of Education / Naturwissenschaftliche Bildung,5090,"Biologie, Informatik (kA/20221; sb bis 01.10.2050)",Biologie,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5090&pStartSemester=
14 Bachelor of Education / Naturwissenschaftliche Bildung,5370,"Biologie, Informatik (kA/20241; sb bis 01.10.2050)",Biologie,180,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5370&pStartSemester=
16 Master of Science,5186,Chemie (kA/20231),Chemie,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5186&pStartSemester=
16 Master of Science,5188,Biochemie (kA/20231),Biochemie,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5188&pStartSemester=
16 Master of Science,4949,Chemie-Ingenieurwesen (kA/20211),Chemie-Ingenieurwesen/Chemietechnik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4949&pStartSemester=
16 Master of Science,5217,Informatik (kA/20231),Informatik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5217&pStartSemester=
16 Master of Science,5244,Mathematik (kA/20231),Mathematik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5244&pStartSemester=
16 Master of Science,4718,Physik (Physik der kondensierten Materie) (kA/20181),Physik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4718&pStartSemester=
16 Master of Science,5220,"Informatik (Teilzeit, 50%) (kA/20231; sb bis 30.09.2030)",Informatik,120,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5220&pStartSemester=
