Study_Program_ID,Level,Name,Link,Recommended_Semester,Credits,GF
121,2,[WI000026] Advanced Technology and Innovation Management,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/452770/study-year/1621,,6,1
121,3,Advanced Technology and Innovation Management,#,5.,6,1
121,2,Advanced Technology and Innovation Management,#,5.,,1
121,3,[WI000233] Management Accounting,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/463899/study-year/1621,,6,1
121,2,Management Accounting,#,1.,6,1
121,3,Management Accounting,#,-,,1
121,2,Übung Management Accounting,#,-,,1
121,3,[WI000100] Advanced Microeconomics,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1628399/study-year/1621,,6,1
121,2,Advanced Microeconomics,#,-,6,1
121,3,Advanced Microeconomics,#,-,,1
121,3,[WI000234] Value-based Management,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/463901/study-year/1621,,6,1
121,2,Value-based Management,#,-,6,1
121,3,Übung Value-based Management,#,-,,1
121,2,Value-based Management,#,-,,1
121,3,"[WI200541] Planning and Scheduling of Complex Operations: Models, Methods and Applications",ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/812017/study-year/1621,,6,1
121,2,"Planning and Scheduling of Complex Operations: Models, Methods and Applications",#,-,6,1
121,3,"Planning and Scheduling of Complex Operations: Models, Methods and Applications",#,-,,1
121,2,[WI000836] Advanced Planning in Supply Chains - Illustrating the concepts and methdology using SAP IBP,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/614770/study-year/1621,,6,1
121,3,Advanced Planning in Supply Chains - Illustrating the Concepts using an SAP APO Case Study,#,-,6,1
121,2,Advanced Planning - Models and IT Tools for Supply Chain Management,#,-,,1
121,3,[WIB01832] Advanced Topics in Innovation & Entrepreneurship,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/586422/study-year/1621,,6,1
121,2,Advanced Topics in Innovation & Entrepreneurship,#,-,6,1
121,3,Advanced Topics in Innovation & Entrpreneurship,#,-,,1
121,2,[MGT001472] Applied Strategy and Organization: Strategies for international Corporations,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/4394710/study-year/1621,,3,1
121,3,Applied Strategy and Organization: Strategies for international Corporations,#,-,3,1
121,2,Applied Strategy and Organization: Strategies for international Corporations,#,-,,1
121,3,"[WI001090] Behavioral Pricing: Insights, Methods, and Strategy",ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1021421/study-year/1621,,6,1
121,2,"Behavioral Pricing: Insights, Methods, and Strategy",#,-,6,1
121,3,"Behavioral Pricing (Insights, Methods, and Strategy)",#,-,,1
121,2,"[WI001214] Case Study Seminar in Managing business models, growth, and disruption",ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1737567/study-year/1621,,6,1
121,3,"Case Study Seminar in Managing business models, growth, and disruption",#,-,6,1
121,2,"Case Study Seminar in Managing business models, growth, and disruption",#,-,,1
121,3,[WI000091] Corporate Finance,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/261081/study-year/1621,,6,1
121,2,Corporate Finance,#,1.,6,1
121,3,Corporate Finance,#,-,,1
121,2,Übung Corporate Finance,#,-,,1
121,2,[WI000258] Empirical Research in Economics and Management,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/450708/study-year/1621,,6,1
121,3,Empirical Research in Economics and Management,#,1.,6,1
121,2,Empirical Research in Economics and Management (Campus München) - Übung,#,-,,1
121,3,Empirical Research in Economics and Management (Campus München) - Vorlesung,#,1.,,1
121,2,[WI001166] Entrepreneurial Prototyping,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1348594/study-year/1621,,6,1
121,3,Entrepreneurial Prototyping,#,-,6,1
