Study_Program_ID,Name (1),Name (2),Name (3),Link,Credits,GF
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN2369] Industrielle Bildverarbeitung,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1629494/study-year/1621,6,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN2409] Inverse Problems in Medical Imaging,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/3126247/study-year/1621,5,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN2330] Konvexe Optimierung für Computer Vision,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1199527/study-year/1621,6,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN2392] Machine Learning for 3D Geometry,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/2808442/study-year/1621,6,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN2384] Numerische Algorithmen für Computer Vision und Maschinelles Lernen,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/2632102/study-year/1621,5,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN2329] Probabilistische Graphische Modelle in der Computer Vision,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1199485/study-year/1621,5,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN2210] Tracking and Detection in Computer Vision,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/487473/study-year/1621,7,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN2236] Virtuelle Physik: Moderne Modellierungstechnik und ihr Einsatz in der Computersimulation,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/611935/study-year/1621,4,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN2026] Visual Data Analytics,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1528428/study-year/1621,5,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN2354] 3D Scanning & Motion Capture,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1412259/study-year/1621,6,1
121,Übergreifende Wahlmodule,Datenbanken und Informationssysteme,,,5,1
121,Übergreifende Wahlmodule,Datenbanken und Informationssysteme,[IN99510] Anerkennung im Bereich Datenbanken und Informationssysteme,,,1
121,Übergreifende Wahlmodule,Datenbanken und Informationssysteme,[IN2032] Elektronisches Publizieren / Document Engineering und das World-Wide Web,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/456388/study-year/1621,5,1
121,Übergreifende Wahlmodule,Datenbanken und Informationssysteme,[IN2118] Database Systems on Modern CPU Architectures,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/473867/study-year/1621,6,1
121,Übergreifende Wahlmodule,Datenbanken und Informationssysteme,[IN3100] Ausgewählte Themen aus dem Bereich Datenbanken und Informationssysteme,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/767880/study-year/1621,5,1
121,Übergreifende Wahlmodule,Datenbanken und Informationssysteme,[CIT3230002] Cloud Information Systems,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/3453883/study-year/1621,5,1
121,Übergreifende Wahlmodule,Datenbanken und Informationssysteme,[IN2386] Cloud-Based Data Processing,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/2690341/study-year/1621,5,1
