Study_Program_ID,Name (0),Name (1),Name (2),Name (3),Link,Recommended_Semester,Credits,GF
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[IN9933] Anerkennung im Bereich Management,#,,,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[IN9934] Anerkennung im Bereich Management,#,,,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WI000026] Advanced Technology and Innovation Management,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/452770/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WI000233] Management Accounting,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/463899/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WI000100] Advanced Microeconomics,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1628399/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WI000234] Value-based Management,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/463901/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,"[WI200541] Planning and Scheduling of Complex Operations: Models, Methods and Applications",ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/812017/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WI000836] Advanced Planning in Supply Chains - Illustrating the concepts and methdology using SAP IBP,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/614770/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WIB01832] Advanced Topics in Innovation & Entrepreneurship,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/586422/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[MGT001472] Applied Strategy and Organization: Strategies for international Corporations,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/4394710/study-year/1621,,3,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,"[WI001090] Behavioral Pricing: Insights, Methods, and Strategy",ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1021421/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,"[WI001214] Case Study Seminar in Managing business models, growth, and disruption",ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1737567/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WI000091] Corporate Finance,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/261081/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WI000258] Empirical Research in Economics and Management,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/450708/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WI001166] Entrepreneurial Prototyping,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1348594/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WI000984] Entrepreneurship,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/759654/study-year/1621,,3,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WI001217] Geheimnisschutz,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1746283/study-year/1621,,3,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WI000979] Inventory Management,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/737300/study-year/1621,,6,1
